dataset,dimensions,train_time,test_time,accuracy,f1,VSA
BZR,10000,0.7,0.27,72.62,72.62,FHRR
dataset,dimensions,train_time,test_time,accuracy,f1,VSA
BZR_MD,10000,1.01,0.43,60.0,60.0,FHRR
dataset,dimensions,train_time,test_time,accuracy,f1,VSA
COX2,10000,0.61,0.3,61.7,61.7,FHRR
dataset,dimensions,train_time,test_time,accuracy,f1,VSA
COX2_MD,10000,1.37,0.62,53.41,53.41,FHRR
dataset,dimensions,train_time,test_time,accuracy,f1,VSA
DHFR,10000,1.02,0.49,67.4,67.4,FHRR
dataset,dimensions,train_time,test_time,accuracy,f1,VSA
DHFR_MD,10000,1.52,0.68,61.02,61.02,FHRR
